ANGELEGT_AM,LOR,bike_theft_count
2022-12-10,2200212,1
2022-12-10,2300315,1
2022-12-10,2300418,1
2022-12-10,2300419,1
2022-12-10,2400624,1
2022-12-10,2500834,1
2022-12-10,2500835,1
2022-12-10,2500836,1
2022-12-10,3200309,1
2022-12-10,3400721,1
2022-12-10,3400828,1
2022-12-10,3500932,3
2022-12-10,3500935,1
2022-12-10,3601140,1
2022-12-10,3701554,2
2022-12-10,3701658,1
2022-12-10,4300414,1
2022-12-10,4300416,1
2022-12-10,4400727,1
2022-12-10,4400728,1
2022-12-10,4400830,1
2022-12-10,4400832,1
2022-12-10,4500936,1
2022-12-10,4501152,1
2022-12-10,6100103,1
2022-12-10,6100207,1
2022-12-10,7100101,1
2022-12-10,7100103,1
2022-12-10,7100204,2
2022-12-10,7300516,1
2022-12-10,7300619,1
2022-12-10,7400720,1
2022-12-10,7400721,1
2022-12-10,7400826,1
2022-12-10,8100103,1
2022-12-10,8100206,2
2022-12-10,8100208,1
2022-12-10,8100209,1
2022-12-10,8100310,1
2022-12-10,8100312,1
2022-12-10,8100313,1
2022-12-10,8100417,2
2022-12-10,9100101,3
2022-12-10,9100202,1
2022-12-10,9200715,1
2022-12-10,9501737,1
2022-12-10,10200421,1
2022-12-10,10200627,1
2022-12-10,10200630,1
2022-12-10,10300734,1
2022-12-10,11200411,1
2022-12-10,11200513,2
2022-12-10,11300619,1
2022-12-10,11300722,1
2022-12-10,11300826,1
2022-12-10,12100101,1
2022-12-10,12100103,1
2022-12-10,12400619,1
2022-12-10,12500930,1
2022-12-10,12601134,1
2022-12-11,1100101,1
2022-12-11,1100310,1
2022-12-11,1100415,1
2022-12-11,1100416,1
2022-12-11,1200628,1
2022-12-11,1200629,1
2022-12-11,1300730,1
2022-12-11,1401046,1
2022-12-11,1401047,1
2022-12-11,1401048,1
2022-12-11,2100103,1
2022-12-11,2200209,1
2022-12-11,2200211,2
2022-12-11,2200212,2
2022-12-11,2200213,1
2022-12-11,2300314,3
2022-12-11,3400721,1
2022-12-11,3400830,1
2022-12-11,3500934,1
2022-12-11,3500936,1
2022-12-11,3601348,1
2022-12-11,4300620,1
2022-12-11,4400727,2
2022-12-11,4400835,1
2022-12-11,5100314,1
2022-12-11,6100205,1
2022-12-11,6100208,1
2022-12-11,7100101,1
2022-12-11,7100204,1
2022-12-11,8100103,2
2022-12-11,8100104,1
2022-12-11,8100209,1
2022-12-11,8100312,1
2022-12-11,8100418,1
2022-12-11,9100407,2
2022-12-11,9200715,1
2022-12-11,9501736,1
2022-12-11,10100206,1
2022-12-11,11300722,1
2022-12-11,11401034,1
2022-12-11,11501341,1
2022-12-11,12400619,1
2022-12-11,12400721,1
2022-12-11,12400722,1
2022-12-12,1100102,1
2022-12-12,1100309,1
2022-12-12,1100312,1
2022-12-12,1400942,1
2022-12-12,1401044,1
2022-12-12,1401046,1
2022-12-12,1401048,1
2022-12-12,2300417,1
2022-12-12,2400522,1
2022-12-12,2400623,2
2022-12-12,2400625,1
2022-12-12,3100103,1
2022-12-12,3601142,1
2022-12-12,3601243,1
2022-12-12,3601449,1
2022-12-12,3601451,2
2022-12-12,4300416,2
2022-12-12,4300621,2
2022-12-12,4300622,2
2022-12-12,4500939,1
2022-12-12,4501045,1
2022-12-12,4501152,1
2022-12-12,7100102,1
2022-12-12,7100103,1
2022-12-12,7100206,1
2022-12-12,7200307,1
2022-12-12,7300515,1
2022-12-12,7400823,1
2022-12-12,7501032,1
2022-12-12,7601238,2
2022-12-12,8100104,1
2022-12-12,8100209,2
2022-12-12,8100312,1
2022-12-12,9200613,1
2022-12-12,9501736,1
2022-12-12,10400837,1
2022-12-12,11400927,1
2022-12-12,11400929,1
2022-12-12,12400723,1
2022-12-13,1100308,1
2022-12-13,1100415,1
2022-12-13,1200625,1
2022-12-13,1300733,1
2022-12-13,1300834,1
2022-12-13,1401047,1
2022-12-13,2100105,1
2022-12-13,2200208,1
2022-12-13,2200209,1
2022-12-13,2200210,1
2022-12-13,2300314,1
2022-12-13,2300419,1
2022-12-13,2500726,1
2022-12-13,2500835,1
2022-12-13,3300514,1
2022-12-13,3400721,1
2022-12-13,3400723,1
2022-12-13,3400724,1
2022-12-13,3500932,1
2022-12-13,3601244,1
2022-12-13,4200203,1
2022-12-13,4300517,1
2022-12-13,4300518,1
2022-12-13,4400727,1
2022-12-13,4501040,1
2022-12-13,4501045,1
2022-12-13,5300737,1
2022-12-13,6300526,1
2022-12-13,6400735,1
2022-12-13,7100204,1
2022-12-13,7100205,1
2022-12-13,8100415,1
2022-12-13,10300731,1
2022-12-13,11200411,1
2022-12-13,11400929,1
2022-12-13,11401137,1
2022-12-13,12200309,1
2022-12-14,1100102,1
2022-12-14,1100207,1
2022-12-14,1100414,2
2022-12-14,1300834,1
2022-12-14,1400938,1
2022-12-14,1400942,1
2022-12-14,1401047,1
2022-12-14,2100103,1
2022-12-14,2200209,2
2022-12-14,2400624,1
2022-12-14,2400625,1
2022-12-14,2500831,1
2022-12-14,2500833,1
2022-12-14,3500935,1
2022-12-14,3601140,1
2022-12-14,3601452,1
2022-12-14,3701554,1
2022-12-14,4300623,1
2022-12-14,4500937,2
2022-12-14,4500938,1
2022-12-14,4501152,1
2022-12-14,5200528,1
2022-12-14,6200314,1
2022-12-14,6200420,1
2022-12-14,7100102,1
2022-12-14,7100103,2
2022-12-14,7100204,2
2022-12-14,7300515,1
2022-12-14,7300619,1
2022-12-14,7400824,1
2022-12-14,8100415,1
2022-12-14,9401329,1
2022-12-14,9502043,1
2022-12-14,11100308,1
2022-12-14,11200410,1
2022-12-14,11300619,2
2022-12-14,12500928,1
2022-12-15,1100102,1
2022-12-15,1100207,1
2022-12-15,1100310,1
2022-12-15,1100414,1
2022-12-15,1100415,2
2022-12-15,1100416,1
2022-12-15,1200625,1
2022-12-15,1300834,2
2022-12-15,1300836,1
2022-12-15,1401048,1
2022-12-15,2100102,1
2022-12-15,2100105,1
2022-12-15,2200207,1
2022-12-15,2200209,1
2022-12-15,2300417,1
2022-12-15,2300418,1
2022-12-15,2400521,1
2022-12-15,2500832,1
2022-12-15,3400827,1
2022-12-15,3500934,1
2022-12-15,3500935,1
2022-12-15,3601346,2
2022-12-15,3601453,2
2022-12-15,3701554,1
2022-12-15,3701658,1
2022-12-15,4200207,1
2022-12-15,4500937,1
2022-12-15,4501147,1
2022-12-15,4501149,2
2022-12-15,4501153,1
2022-12-15,5300736,1
2022-12-15,5300840,1
2022-12-15,6300634,1
2022-12-15,7400927,1
2022-12-15,8100103,1
2022-12-15,8100418,1
2022-12-15,8100520,1
2022-12-15,9501838,1
2022-12-15,11200513,1
2022-12-15,11300617,1
2022-12-16,1300834,1
2022-12-16,1300836,1
2022-12-16,1400942,2
2022-12-16,1401043,1
2022-12-16,1401044,1
2022-12-16,2100104,1
2022-12-16,2200210,1
2022-12-16,2200211,1
2022-12-16,2200212,1
2022-12-16,2400522,1
2022-12-16,2400625,1
2022-12-16,3400619,2
2022-12-16,3400826,1
2022-12-16,3500934,1
2022-12-16,3500935,1
2022-12-16,3601348,1
2022-12-16,4200309,2
2022-12-16,4300416,1
2022-12-16,4300517,1
2022-12-16,4300622,1
2022-12-16,4300623,1
2022-12-16,4501042,1
2022-12-16,5100211,1
2022-12-16,6300629,2
2022-12-16,6400844,1
2022-12-16,7100101,1
2022-12-16,7501030,1
2022-12-16,8100314,1
2022-12-16,9300920,1
2022-12-16,9501736,1
2022-12-16,11100206,1
2022-12-16,11200513,1
2022-12-16,12400720,1
2022-12-16,12601133,1
2022-12-17,1100101,1
2022-12-17,1100102,1
2022-12-17,1100310,1
2022-12-17,1300834,1
2022-12-17,1300836,1
2022-12-17,1401043,1
2022-12-17,1401045,1
2022-12-17,1401047,1
2022-12-17,2300315,1
2022-12-17,2400624,1
2022-12-17,3100103,1
2022-12-17,3300514,1
2022-12-17,6100103,1
2022-12-17,6100206,2
2022-12-17,6100209,1
2022-12-17,6400736,1
2022-12-17,7100101,1
2022-12-17,7100204,1
2022-12-17,9200613,1
2022-12-17,9501737,1
2022-12-17,10200524,1
2022-12-17,10300732,1
2022-12-17,10400837,1
2022-12-17,10400940,1
2022-12-17,11200410,1
2022-12-17,11200513,2
2022-12-17,11300620,1
2022-12-17,11400929,1
2022-12-17,12500927,1
2022-12-17,12500930,1
2022-12-17,12601032,1
2022-12-18,1401048,1
2022-12-18,2100103,1
2022-12-18,2200212,1
2022-12-18,2300314,1
2022-12-18,2300418,1
2022-12-18,2400625,1
2022-12-18,3500935,1
2022-12-18,3601142,1
2022-12-18,4300621,1
2022-12-18,4501149,1
2022-12-18,4501151,1
2022-12-18,5100316,1
2022-12-18,6100102,1
2022-12-18,6300526,1
2022-12-18,6300632,1
2022-12-18,6400840,1
2022-12-18,8100101,1
2022-12-18,8100206,1
2022-12-18,8100314,1
2022-12-18,11300722,1
2022-12-18,11400930,1
2022-12-18,11401032,1
2022-12-18,11501341,2
2022-12-19,1300834,1
2022-12-19,1401048,1
2022-12-19,1401049,1
2022-12-19,2100102,1
2022-12-19,2200207,1
2022-12-19,2200210,1
2022-12-19,2300315,1
2022-12-19,2500833,1
2022-12-19,2500834,1
2022-12-19,3300517,1
2022-12-19,3400826,1
2022-12-19,3400828,2
2022-12-19,3601141,1
2022-12-19,3601347,1
